expert_id,expert_name,role,organization,email,response_status,date_sent,date_received,score_statistical_correctness,score_estimator_coverage,score_bias_diagnostics,score_advanced_methods,score_reproducibility,score_usability,score_reporting_ready,score_regulatory_hta_ready,weighted_total,critical_blocker_flag,critical_blocker_note,adoption_vote,top_strength_1,top_strength_2,top_strength_3,top_blocker_1,top_blocker_2,top_blocker_3,minimum_changes_for_adopt_now,add_only_guardrail_confirmed,notes
E01,Persona01,Meta-methodologist,Simulated Panel,,completed,2026-02-27,2026-02-27,5,5,5,5,5,4,5,5,4.91,no,,adopt now,Estimator breadth,GLMM parity controls,Reporting completeness,none,none,none,none,yes,Immediate switch.
E02,Persona02,Clinical biostatistician,Simulated Panel,,completed,2026-02-27,2026-02-27,5,5,4,5,5,4,5,5,4.82,no,,adopt now,Rare-event capability,Sensitivity breadth,HTA reporting integration,none,none,none,none,yes,Immediate switch.
E03,Persona03,HTA analyst,Simulated Panel,,completed,2026-02-27,2026-02-27,4,5,4,5,5,4,5,5,4.74,no,,adopt now,HTA module,Combined report export,Reproducibility stack,none,none,none,none,yes,Immediate switch.
E04,Persona04,Evidence synthesis PI,Simulated Panel,,completed,2026-02-27,2026-02-27,5,5,5,5,5,4,5,5,4.90,no,,adopt now,Methods depth,No-regression evidence,Advanced tab maturity,none,none,none,none,yes,Immediate switch.
E05,Persona05,Rare-events specialist,Simulated Panel,,completed,2026-02-27,2026-02-27,5,5,5,5,5,4,5,4,4.88,no,,adopt now,GLMM families,Conditional lanes,Peto MH support,none,none,none,none,yes,Immediate switch.
E06,Persona06,Regulatory statistics advisor,Simulated Panel,,completed,2026-02-27,2026-02-27,4,5,4,4,5,4,5,4,4.58,no,,pilot first,Traceability,Audit bundle,Method citations,independent external validation pack,nightly oracle reruns,formal release SOP,Independent external reruns completed,yes,Near-future switch after governance checks.
E07,Persona07,Software QA reviewer,Simulated Panel,,completed,2026-02-27,2026-02-27,4,4,4,4,5,4,5,4,4.52,no,,adopt now,Add-only safety,Automation tests,Plot rendering stability,none,none,none,none,yes,Immediate switch.
E08,Persona08,Journal methods editor,Simulated Panel,,completed,2026-02-27,2026-02-27,5,5,4,5,5,4,5,5,4.85,no,,adopt now,Publication readiness,R cross-check export,PRISMA/GRADE outputs,none,none,none,none,yes,Immediate switch.
E09,Persona09,Public health meta-analyst,Simulated Panel,,completed,2026-02-27,2026-02-27,4,5,4,4,5,5,5,4,4.64,no,,adopt now,Usability,Estimator coverage,Report usability,none,none,none,none,yes,Immediate switch.
E10,Persona10,Decision scientist,Simulated Panel,,completed,2026-02-27,2026-02-27,4,5,4,5,5,4,5,5,4.76,no,,adopt now,Decision outputs,Sensitivity depth,HTA + DDMA linkage,none,none,none,none,yes,Immediate switch.
E11,Persona11,Senior meta consultant,Simulated Panel,,completed,2026-02-27,2026-02-27,5,5,5,5,5,4,5,5,4.93,no,,adopt now,Comprehensive stack,Cross-checkability,Transparent diagnostics,none,none,none,none,yes,Immediate switch.
E12,Persona12,Independent reproducibility auditor,Simulated Panel,,completed,2026-02-27,2026-02-27,4,5,4,4,5,4,5,4,4.60,no,,pilot first,Reproducibility exports,Cross-check script,Estimator audit,independent third-party benchmark rerun,pre-registered oracle protocol,locked release reproducibility report,Independent third-party replication completed,yes,Near-future switch once independent rerun is posted.
