expert_id,expert_name,role,organization,email,response_status,date_sent,date_received,score_statistical_correctness,score_estimator_coverage,score_bias_diagnostics,score_advanced_methods,score_reproducibility,score_usability,score_reporting_ready,score_regulatory_hta_ready,weighted_total,critical_blocker_flag,critical_blocker_note,adoption_vote,top_strength_1,top_strength_2,top_strength_3,top_blocker_1,top_blocker_2,top_blocker_3,minimum_changes_for_adopt_now,add_only_guardrail_confirmed,notes
E01,Persona01,Meta-methodologist,Simulated Panel,,completed,2026-02-26,2026-02-26,5,5,5,5,5,4,5,4,4.84,no,,adopt now,Estimator breadth,GLMM parity controls,Audit exports,none,none,none,none,yes,Immediate switch.
E02,Persona02,Clinical biostatistician,Simulated Panel,,completed,2026-02-26,2026-02-26,5,5,4,5,5,4,5,4,4.74,no,,adopt now,Rare-event capability,Sensitivity breadth,Reporting quality,none,none,none,none,yes,Immediate switch.
E03,Persona03,HTA analyst,Simulated Panel,,completed,2026-02-26,2026-02-26,4,5,4,5,5,4,5,5,4.68,no,,adopt now,HTA module,Reproducibility stack,Cross-check export,none,none,none,none,yes,Immediate switch.
E04,Persona04,Evidence synthesis PI,Simulated Panel,,completed,2026-02-26,2026-02-26,5,5,5,5,5,4,5,4,4.83,no,,adopt now,Methods depth,No-regression evidence,Advanced tab maturity,none,none,none,none,yes,Immediate switch.
E05,Persona05,Rare-events specialist,Simulated Panel,,completed,2026-02-26,2026-02-26,5,5,5,5,5,4,5,4,4.86,no,,adopt now,GLMM families,Conditional lanes,Peto MH support,none,none,none,none,yes,Immediate switch.
E06,Persona06,Regulatory statistics advisor,Simulated Panel,,completed,2026-02-26,2026-02-26,4,5,4,4,5,4,5,4,4.54,no,,pilot first,Traceability,Audit bundle,Method citations,independent external validation pack,nightly oracle reruns,formal release SOP,Independent external reruns completed,yes,Near-future switch after governance checks.
E07,Persona07,Software QA reviewer,Simulated Panel,,completed,2026-02-26,2026-02-26,4,4,4,4,5,4,4,4,4.34,no,,adopt now,Add-only safety,Automation tests,Feature preservation,none,none,none,none,yes,Immediate switch.
E08,Persona08,Journal methods editor,Simulated Panel,,completed,2026-02-26,2026-02-26,5,5,4,5,5,4,5,4,4.73,no,,adopt now,Publication readiness,R cross-check export,Methods appendix,none,none,none,none,yes,Immediate switch.
E09,Persona09,Public health meta-analyst,Simulated Panel,,completed,2026-02-26,2026-02-26,4,5,4,4,5,5,4,4,4.49,no,,pilot first,Usability,Estimator coverage,Scenario flexibility,team migration training,legacy SOP mapping,one-click templates,Migration guide and template pack,yes,Near-future switch after onboarding.
E10,Persona10,Decision scientist,Simulated Panel,,completed,2026-02-26,2026-02-26,4,5,4,5,5,4,5,4,4.61,no,,adopt now,Decision outputs,Sensitivity depth,Prediction metrics,none,none,none,none,yes,Immediate switch.
E11,Persona11,Senior meta consultant,Simulated Panel,,completed,2026-02-26,2026-02-26,5,5,5,5,5,4,5,4,4.87,no,,adopt now,Comprehensive stack,Cross-checkability,Transparent diagnostics,none,none,none,none,yes,Immediate switch.
E12,Persona12,Independent reproducibility auditor,Simulated Panel,,completed,2026-02-26,2026-02-26,4,5,4,4,5,4,5,4,4.45,yes,Needs independent third-party rerun on pre-registered benchmark pack before production commitment,not now,Reproducibility exports,Cross-check script,Estimator audit,independent third-party benchmark rerun,pre-registered oracle protocol,locked release reproducibility report,Independent third-party replication completed,yes,Holdout is process not core feature gap.
