slot_id,target_role,candidate_name,candidate_email,priority,status,date_invited,date_followup,date_completed,final_vote,notes
1,Cochrane_or_guideline_methodologist,,,primary,pending,,,,,
2,Academic_biostatistician_metafor_focused,,,primary,pending,,,,,
3,HTA_or_payer_method_lead,,,primary,pending,,,,,
4,Clinical_epidemiologist,,,primary,pending,,,,,
5,Journal_statistical_reviewer,,,primary,pending,,,,,
6,Pharma_evidence_synthesis_lead,,,primary,pending,,,,,
7,Regulatory_biostat_reviewer,,,primary,pending,,,,,
8,Sparse_event_specialist,,,primary,pending,,,,,
9,Publication_bias_specialist,,,primary,pending,,,,,
10,Reproducibility_open_science_lead,,,primary,pending,,,,,
11,Consultant_meta_analyst_high_throughput,,,primary,pending,,,,,
12,Clinician_investigator_non_coding,,,primary,pending,,,,,
A1,Alternate_general_meta_expert,,,alternate,pending,,,,,
A2,Alternate_general_meta_expert,,,alternate,pending,,,,,
A3,Alternate_general_meta_expert,,,alternate,pending,,,,,
A4,Alternate_general_meta_expert,,,alternate,pending,,,,,
A5,Alternate_general_meta_expert,,,alternate,pending,,,,,
A6,Alternate_general_meta_expert,,,alternate,pending,,,,,
